,Keyword_1,frequency,Keyword_2,degreee
0,solar cells,20,solar cells,61
1,solar cell,12,solar cell,35
2,dye-sensitized solar cell,7,photovoltaic,22
3,nanostructures,7,tio2,20
4,photovoltaic,6,nanostructures,18
5,tio2,6,photovoltaic cells,15
6,photovoltaic cells,5,dye-sensitized solar cell,14
7,anti-reflection,4,silicon,12
8,nanoparticles,4,anti-reflection,12
9,photovoltaic devices,4,photovoltaic devices,11
10,light trapping,4,solar,11
11,dye sensitized solar cells,4,thin film,10
12,thin film solar cell,4,efficiency,10
13,organic solar cell,3,nanoparticles,10
14,thin film,3,nano-structures,10
15,silicon,3,light trapping,10
16,efficiency,3,dye sensitized solar cells,10
17,perovskites,3,thin film solar cell,10
18,solar energy,3,nano particles,9
19,nano particles,3,reflectance,9
20,fdtd simulation,3,plasmonic,9
21,dye-sensitized solar cells,3,fdtd simulation,8
22,nano-structures,3,pcbm,8
23,reflectance,3,solar energy,7
24,plasmonic,3,nano-structure,7
25,solar,3,p3ht,7
26,nano-particles,2,gallium arsenide,7
27,low-cost,2,nano-particles,6
28,surface plasmon,2,organic solar cell,6
29,conversion efficiency,2,dye-sensitized solar cells,6
30,nano-structure,2,nano-imprint,6
31,nano-imprint,2,nanotube,6
32,hybrid solar cell,2,counter electrode,6
33,photovoltaic cell,2,catalytic activation,6
34,nanotube,2,gaas solar cell,6
35,films,2,silicon solar cells,6
36,counter electrode,2,interface,6
37,catalytic activation,2,nano-imprint lithography,6
38,nano-sic film,2,moth-eye,6
39,nano-scale devices,2,polymer solar cell,6
40,numerical simulation,2,zinc oxide,6
41,light management,2,perovskites,5
42,gaas solar cell,2,low-cost,5
43,titanium dioxide,2,surface plasmon,5
44,p3ht,2,hot carrier,5
45,silicon solar cells,2,phonon,5
46,secondary structure,2,lattice,5
47,flexible polymer solar cells,2,hybrid solar cell,5
48,nanotechnology,2,photovoltaic cell,5
49,gallium arsenide,2,films,5
50,nano-tio2,2,al,5
51,tco,2,ag,5
52,energy conversion,2,au nano particles,5
53,antireflection,2,surface plasma,5
54,nanostructure,2,nano-sic film,5
55,hybrid solar cells,2,nano-scale devices,5
56,interface,2,numerical simulation,5
57,pcbm,2,light management,5
58,nanostructured solar cell,2,titanium dioxide,5
59,nano-imprint lithography,2,nanotechnology,5
60,moth-eye,2,nano-tio2,5
61,tio2 nano-particles,2,tco,5
62,polymer solar cell,2,energy conversion,5
63,zinc oxide,2,hybrid solar cells,5
64,crossed-shaped nano-antenna,1,nanostructured solar cell,5
65,cut-off filter,1,plasmon resonance,4
66,photovoltaic solar cell,1,core-shell,4
67,plasmon resonance,1,charge,4
68,core-shell,1,conversion efficiency,4
69,charge,1,impedance spectroscopy,4
70,dielectric nanostructured reflectors,1,tio2 nano urchins,4
71,absorption,1,qdssc,4
72,nanocomposite,1,sillar,4
73,antireflection coatings,1,zno,4
74,nanospheres,1,performance,4
75,nanoresonators,1,layers,4
76,whispering gallery,1,double junction structure,4
77,nano texturing,1,carbon,4
78,reactive ion etching,1,secondary structure,4
79,surface modification,1,flexible polymer solar cells,4
80,carbon nano tube composite,1,photon,4
81,quartz sand,1,sol-gel sio2,4
82,nano silica,1,nano-sized double layer arcs,4
83,magnesiothermic reduction,1,antireflection,4
84,nano silicon and,1,colloidal synthesis,4
85,photocatalytic activity,1,nanocrystal,4
86,quantum dot sensitized solar cells,1,nano-heterojunction,4
87,different tio2 nanostructures,1,nanostructure,4
88,nano-imprinting,1,gaas,4
89,quantum coherence,1,cigs,4
90,fano interference,1,light-trapping,4
91,nano-structure solar,1,sno2 nano particle,4
92,functional nano thin film,1,inverted bhj solar cell,4
93,glass substrate,1,stability,4
94,contamination,1,interfacial layer,4
95,far-field scattering effect,1,gratings,4
96,metal nanoparticles,1,oxide,4
97,perovskite solar,1,arrays,4
98,thin-films,1,nanohemispheres,4
99,nanoparticle,1,polyaniline,4
100,power conversion,1,electrodeposition,4
101,absorption-efficiency,1,thin films,4
