,Keyword_1,frequency,Keyword_2,degreee
0,digital rights management,43,digital rights management,109
1,drm,15,drm,46
2,digital rights management (drm),12,security,29
3,copyright,8,digital rights management (drm),28
4,security,8,copyright,27
5,intellectual property,7,rights,23
6,rights,6,digital,22
7,digital,6,intellectual property,18
8,license,5,license,17
9,digital watermarking,5,piracy,14
10,digital right management,4,digital right management,11
11,piracy,4,digital watermarking,11
12,content protection,4,multimedia,10
13,multimedia,3,watermarking,9
14,streaming media,3,protection,8
15,watermarking,3,internet,8
16,digital watermark,3,xrml,8
17,rights expression language,3,digital rights,8
18,encryption,3,content management,7
19,digital rights,3,security protocol,7
20,access control,2,middleware,7
21,blockchain,2,p2p,7
22,protection,2,content protection,7
23,usage control,2,rights expression language,7
24,intellectual,2,e-commerce,7
25,information security,2,encryption,7
26,internet,2,access control,6
27,content management,2,streaming media,6
28,security protocol,2,accountability,6
29,digital content,2,identity management,6
30,accountability,2,rights management,6
31,rights exporting,2,digital watermark,6
32,privacy,2,smart card,6
33,drm (digital rights management),2,business,5
34,identity management,2,challenges,5
35,middleware,2,china,5
36,rights management,2,blockchain,5
37,agent,2,usage control,5
38,p2p,2,intellectual,5
39,risk management,2,information security,5
40,digital rights management system,2,privacy,5
41,xrml,2,agent,5
42,e-commerce,2,risk management,5
43,right issues,2,fair use,5
44,intellectual property law,2,peer-to-peer (p2p),5
45,smart card,2,digital cinema,5
46,fair use,2,digital rights language,5
47,peer-to-peer (p2p),2,odrl,5
48,copyright protection,2,cdrl,5
49,biometric,1,metadata,5
50,mobile device user,1,watermark,5
51,business,1,image bank,5
52,challenges,1,image format,5
53,china,1,usage,4
54,post-quantum ctyptography,1,enterprise,4
55,multivariate,1,user-generated content,4
56,network media,1,ontology,4
57,smart contract,1,rdf/owl,4
58,usage,1,smart mobile,4
59,enterprise,1,mdrm,4
60,peer-to-peer streaming,1,mobile digital right management,4
61,user-generated content,1,roap,4
62,ontology,1,mobile security,4
63,rdf/owl,1,data,4
64,component,1,copyright office,4
65,privacy-preserving,1,copyrights,4
66,authentication,1,cryptography,4
67,smart mobile,1,smart cards,4
68,mdrm,1,digital content,4
69,mobile digital right management,1,management,4
70,roap,1,e-book,4
71,mobile security,1,rights exporting,4
72,data,1,drm (digital rights management),4
73,content delivery,1,open systems,4
74,drm(digital rights management),1,broker,4
75,information dispersal algorithm,1,3g,4
76,secure,1,fairness,4
77,semantic web,1,low,4
78,broadcasting,1,digital rights management system,4
79,video encryption,1,bit-torrent,4
80,peer-to-peer networks,1,d-cinema,4
81,information,1,application model,4
82,copyright office,1,triz,4
83,copyrights,1,tips,4
84,cryptography,1,innovation,4
85,smart cards,1,event driven drm,4
86,digital rights management(drm),1,ipmp,4
87,pkcs#12,1,mpeg,4
88,multimedia courseware,1,interoperability,4
89,network learning,1,copy protection,4
90,information consumption,1,acss,4
91,management,1,entertainment,4
92,e-book,1,copyright protection,4
93,live streaming,1,content encryption,4
94,network digital video,1,authorization,4
95,blind decryption,1,trust,4
96,hash,1,biometric,3
97,rootkit,1,mobile device user,3
