,Keyword_1,frequency,Keyword_2,degreee
0,seawater desalination,47,desalination,139
1,desalination,41,seawater desalination,122
2,seawater,31,seawater,114
3,reverse osmosis,25,reverse osmosis,86
4,solar energy,7,solar energy,21
5,renewable energy,5,pretreatment,19
6,membranes,5,renewable energy,17
7,pretreatment,5,membranes,17
8,modeling,4,swro,17
9,forward osmosis,4,modeling,14
10,swro,4,scaling,13
11,heat pump,4,forward osmosis,12
12,multi-effect distillation,3,reverse,12
13,energy,3,energy,11
14,ultrafiltration,3,membrane,11
15,membrane desalination,3,membrane desalination,10
16,arabian gulf,3,arabian gulf,10
17,membrane,3,optimization,10
18,optimization,3,mathematical model,10
19,scaling,3,water,10
20,reverse,3,heat pump,10
21,mathematical model,3,msf,10
22,boron,3,ro,9
23,cost,3,med,9
24,power plant,2,boron,9
25,fouling,2,fouling,8
26,simulation,2,ultrafiltration,8
27,flash,2,biofouling,8
28,membrane distillation,2,desalination plant,8
29,biofouling,2,wavepower,8
30,solar,2,hydro-ram,8
31,nuclear,2,flash,7
32,specific energy consumption,2,desalination plants,7
33,ro,2,nanofiltration,7
34,desalination plants,2,nuclear desalination,7
35,nanofiltration,2,deep,7
36,energy efficiency,2,distillation,7
37,energy consumption,2,thermal desalination,7
38,performance,2,cost,7
39,med,2,multi-effect distillation,6
40,nuclear desalination,2,simulation,6
41,deep,2,nuclear,6
42,distillation,2,energy consumption,6
43,thermal desalination,2,prevention,6
44,life cycle assessment,2,control,6
45,heat pipe,2,calcite,6
46,water,2,pellet softening,6
47,desalination plant,2,rsi,6
48,environmental impact,2,life cycle assessment,6
49,wavepower,2,power plant,5
50,hydro-ram,2,multiple-criteria decision making,5
51,msf,2,mcdm,5
52,solar desalination,2,ahp,5
53,bio-desalination,1,electre,5
54,scenedesmus abundans,1,topsis,5
55,total dissolved solids,1,energy recovery,5
56,water stress,1,pumps,5
57,condenser,1,solar,5
58,reverse osmosis seawater desalination system,1,high recovery,5
59,virtual reality,1,low energy,5
60,analogue,1,closed-circuit desalination,5
61,pollution control,1,ocean,5
62,sustainable desalination,1,dbps,5
63,multiple-criteria decision making,1,chlorine,5
64,mcdm,1,bromide,5
65,ahp,1,iodide,5
66,electre,1,toxicity,5
67,topsis,1,energy efficiency,5
68,energy recovery,1,performance,5
69,pumps,1,heat-only,5
70,ocean mechanical force,1,dedicated,5
71,ocean thermal gradient,1,uae,5
72,coagulation,1,med-tvc,5
73,freezing desalination,1,estuaries,5
74,watering parameters,1,sea,5
75,non-condensable gas release,1,variable salinity,5
76,passive vacuum,1,australia,5
77,impaired water,1,perth,5
78,mathematical modeling,1,review,5
79,production cost,1,sydney,5
80,feasibility,1,electrodialysis,5
81,long-term,1,operation,5
82,decanting centrifuge,1,maintenance,5
83,silt,1,development,5
84,water quality,1,coagulation,4
85,turbidity,1,production cost,4
86,ocean thermal energy,1,feasibility,4
87,thermodynamics,1,long-term,4
88,exergy,1,ocean thermal energy,4
89,zero thermal energy input,1,thermodynamics,4
90,waste-free,1,exergy,4
91,core-shell au@tio2 nanoparticles,1,membrane distillation,4
92,seawater evaporation,1,hydrate,4
93,small-scale desalination,1,hydrate-induced ice,4
94,energy recovery device,1,cogeneration,4
95,inter-basin diversion,1,economics,4
96,water policy,1,crp,4
97,supply cost,1,specific energy consumption,4
98,vacuum generation,1,hybrid desalination,4
99,multiple-effect distillation,1,freezing,4
100,seawater intake systems,1,reverses osmosis,4
101,vacuum membrane distillation module,1,ice,4
102,hydrate,1,economic analysis,4
103,hydrate-induced ice,1,prospect,4
104,freeze desalination,1,boron rejection,4
105,lng cold energy,1,membrane fouling,4
106,cogeneration,1,metallic materials,4
107,economics,1,stainless steels,4
108,crp,1,corrosion,4
109,graphene oxide membranes,1,by-products,4
110,graphene oxide framework membrane,1,bromate,4
111,covalent,1,perchlorate,4
112,thermodynamic bound,1,electrolysis,4
113,metal-organic frameworks,1,evaporation,4
114,zeolitic imidazolate framework,1,hypersaline,4
115,high recovery,1,heat pipe,4
116,low energy,1,membrane process,4
117,closed-circuit desalination,1,wind,4
118,ocean,1,process simulation,4
119,economic effects,1,engineering,4
120,input-output analysis,1,design,4
121,china,1,reverse osmosis membrane,4
122,operating data,1,salinity tolerance,4
123,hybrid desalination,1,discharge,4
124,freezing,1,concentrate,4
125,reverses osmosis,1,environmental impact,4
126,ice,1,environmental,4
127,lower cost,1,impact,4
128,integrated process,1,sustainable,4
129,dbps,1,hybrids,4
130,chlorine,1,water cost,4
131,bromide,1,power,4
132,iodide,1,pre-treatment,4
133,toxicity,1,solar desalination,4
134,microbial desalination cell,1,water hammer,4
135,wastewater treatment,1,renewable,4
136,performance ratio,1,cooperation,4
137,gain output ratio,1,water stress,3
138,vapour compression,1,ocean mechanical force,3
139,reverse osmosis modules,1,ocean thermal gradient,3
140,supersaturation,1,non-condensable gas release,3
