,Keyword_1,frequency,Keyword_2,degreee
0,cloud computing,77,cloud computing,213
1,cloud,13,cloud,43
2,mapreduce,9,mapreduce,27
3,scheduling,4,optimization,13
4,optimization,4,big data,13
5,big data,4,security,13
6,programming,4,programming,13
7,linear programming,4,scheduling,12
8,mobile cloud computing,3,linear programming,12
9,integer linear,3,integer linear,9
10,cloud services,3,cloud services,9
11,security,3,saas,9
12,cloud federation,3,paas,9
13,e-learning,3,cloud federation,9
14,distributed computing,3,e-learning,9
15,programming models,3,programming models,9
16,java,2,iaas,8
17,federation of clouds,2,distributed computing,8
18,cloud haskell,2,mobile cloud computing,7
19,cloud networks,2,java,7
20,aspect-oriented programming,2,cloud network,7
21,offloading,2,cost,7
22,hybrid cloud,2,cloud haskell,6
23,saas,2,cloud networks,6
24,paas,2,offloading,6
25,iaas,2,online compiler,6
26,cloud manufacturing,2,performance,6
27,cloud applications,2,interoperability,6
28,cloud network,2,cloud robotics,6
29,online compiler,2,standards,6
30,software architecture,2,cloud broker,6
31,models at runtime,2,cloud storage,6
32,cost,2,federation of clouds,5
33,performance,2,aspect-oriented programming,5
34,interoperability,2,bluemix,5
35,cloud robotics,2,automation,5
36,standards,2,hybrid,5
37,cloud broker,2,containers,5
38,distributed systems,2,cloud applications,5
39,cloud storage,2,process container,5
40,cloud programming model,2,isolation,5
41,control service,1,process-based,5
42,cloud-based controller,1,cloud compiler,5
43,web-based control system,1,iis server,5
44,computing access point,1,front tier,5
45,offloading decision,1,middle tier,5
46,code migration,1,back tier,5
47,spark,1,code migration,4
48,multi-cloud,1,spark,4
49,scientific workflow,1,remote sensing,4
50,bag-of-tasks workflows,1,data management,4
51,task scheduling,1,image,4
52,cloud robotic system,1,cyber insurance,4
53,task assignment,1,cybersecurity,4
54,latency,1,mobile cloud,4
55,remote sensing,1,stochastic,4
56,data management,1,learning management system,4
57,image,1,business process,4
58,universities,1,pricing strategy,4
59,emerging educational programs,1,time,4
60,e learning,1,knx,4
61,virtual computer lab,1,network,4
62,programming courses,1,prosumer,4
63,actor model,1,cache,4
64,manycore,1,network load balancing,4
65,haskell,1,cloud manufacturing,4
66,parallel programming,1,immediate system call structure db,4
67,eval monad,1,system call,4
68,many-core,1,key,4
69,dynamic programming,1,value,4
70,markov decision process,1,software architecture,4
71,quality of,1,models at runtime,4
72,cyber insurance,1,authenticity,4
73,cybersecurity,1,digital preservation,4
74,mobile cloud,1,integrity,4
75,stochastic,1,interpares,4
76,cloud context,1,archival,4
77,application testing,1,availability,4
78,internet services,1,reliability,4
79,heterogeneous cloud,1,cloud service providers,4
80,integral linear programming (ilp),1,parameters,4
81,parallel programming model,1,users,4
82,android,1,rough set,4
83,cloud system,1,runtime,4
84,cost optimization,1,mobile communication,4
