,Keyword_1,frequency,Keyword_2,degreee
0,solar energy,25,solar energy,88
1,hydrogen,22,hydrogen,83
2,solar,17,solar,64
3,solar fuels,14,solar fuels,46
4,fuel cell,11,fuel cell,36
5,solar fuel,10,solar fuel,32
6,photocatalysis,8,photocatalysis,30
7,artificial photosynthesis,8,artificial photosynthesis,24
8,renewable energy,5,syngas,20
9,hydrogen production,4,renewable energy,18
10,photovoltaic,4,reforming,18
11,photosynthesis,4,fuel,17
12,fuel cells,4,water splitting,15
13,syngas,4,photosynthesis,14
14,fuel,4,methane,14
15,water splitting,4,biomass,13
16,reforming,4,photovoltaic,13
17,electrolyzer,4,fuel cells,13
18,biomass,3,energy,13
19,solar-hydrogen,3,hydrogen production,12
20,co2,3,co2,12
21,artificial leaf,3,solar cell,12
22,energy conversion,3,energy conversion,11
23,energy,3,electrolyzer,11
24,photovoltaics,3,artificial leaf,10
25,methane,3,reduction,10
26,solar reforming,3,photovoltaics,10
27,hybrid system,3,carbon dioxide,10
28,carbon dioxide,3,transport,10
29,solar cell,3,solar-hydrogen,9
30,parabolic trough collector,3,isothermal,9
31,solar thermochemical,2,hybrid system,9
32,thermal,2,natural gas,9
33,solid oxide fuel cell,2,thermal,8
34,solar heat,2,water,8
35,methanol steam reforming,2,solar reforming,8
36,reduction,2,renewable,8
37,distributed energy system,2,solar thermal,8
38,isothermal,2,semiconductors,8
39,water,2,biofuels,8
40,pem fuel cell,2,pem fuel cell,7
41,hybrid solar-fossil fuel,2,parabolic trough collector,7
42,thermochemical,2,simulation,7
43,renewable,2,greenhouse,7
44,solar radiation,2,solar tower,7
45,solar thermal energy,2,solar thermochemical,6
46,solar thermal,2,solar heat,6
47,simulation,2,hybrid solar-fossil fuel,6
48,semiconductors,2,thermochemical,6
49,greenhouse,2,rankine cycle,6
50,rankine cycle,2,zinc,6
51,solar thermal power,2,carbothermal,6
52,biofuels,2,coal,6
53,hybrid power plant,2,decomposition,6
54,solar tower,2,methanol steam reforming,5
55,solar collector,2,distributed energy system,5
56,natural gas,2,thermochemistry,5
57,transport,2,life cycle assessment,5
58,universal motor,2,hybrid,5
59,photovoltaic generator,2,fossil,5
60,geo2/ge based solar-chemical cycle,1,energy payback,5
61,non-volatile,1,solar radiation,5
62,methane reduction,1,solar thermal energy,5
63,multi-cycles,1,solar reactors,5
64,perovskites,1,solar thermal power,5
65,oxygen vacancies,1,hybrid power plant,5
66,non-stoichiometric materials,1,solar collector,5
67,clean energy,1,passenger cars,5
68,porous electrode,1,lca,5
69,integrated reactor concept,1,technology,5
70,concentrated radiation,1,clean energy,4
71,hybridizing solar energy system,1,porous electrode,4
72,hybrid fuel cell,1,solid oxide fuel cell,4
73,polyoxometalates,1,hybrid fuel cell,4
74,mid and low-temperature,1,polyoxometalates,4
75,thermodynamic analysis,1,artificial tree,4
76,hydrogen fuel cell,1,photovoltaic cell,4
77,fc vehicles,1,cobalt,4
78,zero-pollution,1,platinum,4
79,copper oxide,1,rhodium,4
80,photoelectrochemical water splitting,1,hydrogen peroxides,4
81,sb2se3,1,polygeneration,4
82,synthesis,1,thermochemical cycling,4
83,anion-exchange,1,solar conversion,4
84,charge separation,1,pt/tio2,4
85,co(2) reduction,1,methanol dehydrogenation,4
86,artificial tree,1,pem,4
87,photovoltaic cell,1,climate change,4
88,trigeneration system,1,fuel security,4
89,solar hydrogen production,1,light,4
90,cobalt,1,fuel reforming,4
91,platinum,1,solar thermal collector,4
92,rhodium,1,photoanodes,4
93,methanol decomposition,1,crystal facets,4
94,chemical,1,solar fuel production,4
95,co2 sequestration,1,hydrogen-based,4
96,hydrogen economy,1,sensing robot,4
97,photoelectrochemistry,1,electrocatalysis,4
98,thermochemical hybrid power generation systems,1,in operando,4
99,solar-assisted power,1,in situ,4
100,mid-temperature solar fuel process,1,passive house,4
