,Keyword_1,frequency,Keyword_2,degreee
0,ionic liquid,28,ionic liquid,82
1,ionic liquids,23,ionic liquids,74
2,battery,11,battery,39
3,electrolyte,9,electrolyte,29
4,materials,9,ionic,28
5,ionic,8,lithium-ion battery,26
6,electric vehicle,7,lithium,22
7,lithium-ion battery,7,electric vehicle,22
8,lithium,6,batteries,19
9,lithium batteries,6,lithium batteries,19
10,batteries,5,thermal management,17
11,thermal management,5,gel polymer electrolyte,15
12,gel polymer electrolyte,5,materials,14
13,lithium battery,5,energy storage,14
14,electrolytes,4,electrolytes,13
15,lithium ion battery,4,lithium battery,13
16,safety,4,graphite,13
17,electrochemistry,4,lithium ion battery,12
18,energy storage,4,safety,12
19,li-ion battery,4,electrochemistry,12
20,performance,3,cooling,11
21,battery thermal management,3,lithium-ion batteries,11
22,liquid metal,3,performance,10
23,polymer electrolytes,3,liquid metal,10
24,lithium ion,3,li-ion battery,10
25,cooling,3,lithium ion batteries,10
26,lithium-sulfur batteries,3,liquid-liquid extraction,10
27,lithium-ion batteries,3,lithium ion,9
28,liquid metal battery,3,hybrid,9
29,ionic liquid electrolyte,3,conductivity,9
30,conductivity,3,lifepo(4),9
31,solid electrolyte,3,polymer electrolytes,8
32,lithium ion batteries,3,ammonia,8
33,graphite,3,silicon,8
34,liquid-liquid extraction,3,polysulfide,8
35,electrode,2,titanium,8
36,cooling system,2,electrode,7
37,battery thermal management system,2,cooling system,7
38,hybrid electric vehicle,2,lithium-sulfur batteries,7
39,ammonia,2,liquid-free,7
40,hybrid,2,liquid metal battery,7
41,lead-acid battery,2,ionic liquid electrolyte,7
42,magnetohydrodynamics,2,catalysts,7
43,rechargeable,2,solid electrolyte,7
44,silicon,2,oxygen,7
45,energy density,2,battery thermal management,6
46,liquid-free,2,hybrid electric vehicle,6
47,polymeric ionic liquid,2,lead-acid battery,6
48,liquid metal batteries,2,thermal,6
49,gel polymer,2,heat release,6
50,electrochemical window,2,chitosan,6
51,thermal,2,lithium/sulfur battery,6
52,catalysts,2,magnetohydrodynamics,5
53,polymer electrolyte,2,rechargeable,5
54,heat release,2,energy density,5
55,chitosan,2,liquid metal batteries,5
56,temperature,2,engineering,5
57,cells,2,issue 118,5
58,polysulfide,2,high,5
59,oxygen,2,electrochemical window,5
60,lithium/sulfur battery,2,flow battery,5
