,Keyword_1,frequency,Keyword_2,degreee
0,smart grid,46,smart grid,154
1,renewable energy,28,renewable energy,90
2,microgrid,11,wind power,35
3,wind power,10,microgrid,35
4,wind energy,9,solar,30
5,energy management,9,energy management,30
6,solar energy,9,solar energy,30
7,energy storage,8,wind energy,29
8,smart,7,energy storage,25
9,renewable,7,renewable,22
10,demand response,7,wind,22
11,management,6,smart,20
12,solar,6,demand response,20
13,distributed generation,6,micro-grid,20
14,wind,5,distributed generation,18
15,smart grids,5,hybrid system,17
16,hybrid system,5,management,15
17,energy efficiency,4,battery,15
18,forecasting,4,electric vehicle,14
19,electric vehicle,4,power,14
20,power,4,smart city,13
21,micro-grid,4,energy,13
22,smart city,4,smart grids,13
23,energy,4,forecasting,12
24,battery,4,solar power,12
25,power quality,4,reliability,11
26,solar power,4,multi agent system,11
27,demand side management,3,power quality,11
28,electric vehicles,3,electric vehicles,10
29,reliability,3,solar panel,9
30,fuzzy logic,3,fuzzy logic,9
31,renewable energy sources,3,renewable energy sources,9
32,multi agent system,3,facts,9
33,control,3,hvdc,9
34,wind turbine,2,ups,9
35,solar panel,2,statcom,9
36,distributed energy resources,2,apf,9
37,smart metering,2,dvr,9
38,photovoltaic,2,upqc,9
39,sustainable energy,2,energy efficiency,8
40,virtual power plant,2,photovoltaic,8
41,wind turbines,2,wind turbines,8
42,voltage quality,2,jade,8
43,smart home,2,control,8
44,load,2,cost,8
45,energy management systems,2,wind turbine,7
46,optimization,2,demand side management,7
47,smart microgrid,2,voltage quality,7
48,triboelectric nanogenerator,2,control systems,7
49,conventional power system,2,emissions,7
50,jade,2,simulation,7
51,photovoltaic system,2,power distribution,7
52,stochastic optimization,2,smart metering,6
53,solar cells,2,virtual power plant,6
54,storage,2,load,6
55,control systems,2,optimization,6
56,load shifting,2,photovoltaic system,6
57,dynamic rating,2,stochastic optimization,6
58,emissions,2,solar cells,6
59,distributed,2,storage,6
60,smart energy systems,2,load shifting,6
61,thermal energy storage,2,dynamic rating,6
62,frequency control,2,thermal energy storage,6
63,simulation,2,frequency control,6
64,power distribution,2,controllable loads,6
65,material,2,distributed energy resources,5
66,electrical grid,2,deg,5
67,cost,2,power transmission,5
68,dc smart house,2,smart home,5
69,optimal operation,2,energy management systems,5
70,controllable loads,2,smart microgrid,5
71,remote labs,1,triboelectric nanogenerator,5
72,system control,1,v2g,5
73,synchronized measurements,1,congestions management,5
74,pmu,1,pem,5
75,data mining,1,ptdfs,5
76,memory-based genetic algorithm,1,vdfs,5
77,cuckoo search algorithm,1,arm7,5
78,heuristic algorithms,1,8051,5
79,generation,1,lcd,5
80,household,1,distributed,5
81,artificial neural network (ann),1,hydrogen,5
82,genetic algorithm back propagation,1,electric power system,5
83,sustainability,1,pv cell,5
84,power system reliability,1,wave,5
85,productive analysis,1,dc smart house,5
86,cooperative relationship,1,optimal operation,5
87,grid management,1,remote labs,4
88,consumer,1,system control,4
89,lead acid battery,1,synchronized measurements,4
90,state of charge,1,pmu,4
91,feature selection,1,data mining,4
92,integration of renewable energy,1,generation,4
93,combined heat and,1,household,4
94,thermoelectric and hydroelectric unit,1,grid management,4
95,smart power grid,1,consumer,4
96,wind and solar,1,sustainable energy,4
97,solar photovoltaic,1,ajk,4
98,deg,1,electrical systems,4
99,power transmission,1,ac/dc,4
100,ajk,1,distribution networks,4
101,electrical systems,1,load flow,4
102,ac/dc,1,smart power grids,4
103,renewable energy resources,1,cyber-attack,4
104,monitoring,1,optics,4
105,impedance,1,demand dispatch,4
106,smart user,1,anomaly detection,4
107,genetic algorithm,1,conventional power system,4
108,chp operation managing,1,grid outage,4
109,regional smart energy grid,1,robustness,4
110,coordinated operational technology,1,software defined radio,4
111,economic,1,cellular networks,4
112,localized weather forecasting,1,iot,4
113,fuel cell hybrid power source,1,autonomous,4
114,multi-agent systems,1,smart meter,4
115,hybrid energy system,1,blockchain,4
116,storage battery,1,energy market,4
117,carbon tax,1,conversion,4
118,economics,1,island power,4
119,social cost of co2,1,grid integration,4
120,"smart meter, solar panel",1,economic analysis,4
121,distribution networks,1,npw,4
122,load flow,1,irr,4
123,smart power grids,1,elastic load,4
124,electric vehicle charging station,1,smart community,4
125,optimal power flow,1,renewables,4
126,photovoltaic (pv),1,uncertainty,4
127,photovoltaic generation,1,photovoltaic panel,4
128,support vector machine,1,lft,4
129,combined,1,performance ratio,4
130,renewable generation,1,heliostat,4
131,demand,1,inverter,4
132,integrated renewable energy systems,1,solar power farm,4
133,smart materials,1,wind power farm,4
134,tensegrity structures,1,sssc,4
135,solar facades,1,pv energy,4
136,wind generators,1,hybrid systems,4
137,autoencoders,1,demand side,4
138,epso,1,neuro-fuzzy,4
139,evolutionary particle swarm,1,anfis,4
140,hybrid nanogenerator,1,fuzzy ahp,4
141,benefits and barriers,1,fuzzy mcdm,4
142,data centers,1,future trends,4
143,communication technologies,1,demonstration projects,4
144,ancillary,1,policy,4
145,cyber-attack,1,chinese,4
146,optics,1,smart energy systems,4
147,demand dispatch,1,homer,4
148,anomaly detection,1,pv,4
149,load demands,1,wind & economic,4
150,solar systems,1,load management,4
151,wind system,1,restoration,4
